i_deg;j_deg;theta_y;theta_z;mean_theta_y;mean_theta_z
-90;-40;-44.09527;-5.883249;-44.075596;-5.909488
-90;-39;-43.37216;-6.0105796;-43.31182;-5.9960933
-90;-38;-41.84364;-5.654798;-42.170147;-5.8773947
-90;-37;-41.5007;-5.9435854;-41.421658;-5.9457116
-90;-36;-40.617367;-5.9204025;-40.520115;-5.8618407
-90;-35;-39.116062;-5.9318476;-39.01224;-5.8687415
-90;-34;-38.043743;-6.037021;-37.861015;-5.8572764
-90;-33;-37.181953;-5.945658;-37.061787;-5.87026
-90;-32;-36.253597;-5.920752;-36.049484;-5.748744
-90;-31;-34.519966;-5.6112003;-34.8975;-5.72204
-90;-30;-34.00134;-5.532987;-34.401604;-5.8369017
-90;-29;-32.89627;-5.5042987;-33.098618;-5.637068
-90;-28;-32.14758;-6.0799923;-31.873848;-5.8616633
-90;-27;-31.074224;-5.883925;-30.734371;-5.744042
-90;-26;-29.903158;-5.987467;-29.906094;-5.90932
-90;-25;-29.329784;-5.7400026;-28.76878;-5.504279
-90;-24;-27.798658;-5.6720304;-27.895012;-5.7102814
-90;-23;-26.485003;-5.5766177;-26.783524;-5.651382
-90;-22;-25.85964;-5.376633;-26.076548;-5.5172076
-90;-21;-24.541409;-5.360686;-24.850683;-5.473252
-90;-20;-23.633158;-5.8511195;-23.407013;-5.5967655
-90;-19;-22.686125;-5.95742;-22.96256;-5.947297
-90;-18;-21.799332;-5.6439266;-21.622267;-5.6358933
-90;-17;-20.809847;-5.5250535;-20.539566;-5.613283
-90;-16;-19.885206;-5.83318;-19.896446;-5.716513
-90;-15;-18.733757;-5.505349;-19.020203;-5.5906672
-90;-14;-17.763435;-5.5915594;-17.585653;-5.4435463
-90;-13;-17.092066;-5.5148873;-16.836748;-5.4379287
-90;-12;-15.784686;-5.5530534;-15.858145;-5.546979
-90;-11;-14.9649725;-5.517759;-15.079021;-5.50847
-90;-10;-13.441918;-5.6024933;-14.132028;-5.5365295
-90;-9;-12.6906595;-5.5856466;-12.9983;-5.465246
-90;-8;-12.0589075;-5.6226544;-11.827614;-5.6055117
-90;-7;-10.919547;-5.679928;-11.038343;-5.6891217
-90;-6;-9.959037;-5.7048516;-9.577002;-5.6515355
-90;-5;-8.782768;-5.7784586;-9.117525;-5.6857314
-90;-4;-8.26811;-5.64489;-7.8056464;-5.572632
-90;-3;-6.8104415;-5.7351475;-7.0852027;-5.5796556
-90;-2;-5.5635242;-5.5069513;-5.5393233;-5.505204
-90;-1;-4.7468677;-5.61156;-4.7775216;-5.5387783
-90;0;-3.9558182;-5.5914264;-3.8757365;-5.5758424
-90;1;-3.46063;-5.6235104;-3.0392358;-5.584955
-90;2;-2.111901;-5.725723;-2.214206;-5.583242
-90;3;-1.1964678;-5.434739;-0.79680884;-5.4419074
-90;4;0.0812978;-5.663216;-0.19068263;-5.5986266
-90;5;0.9703597;-5.6068077;0.7238257;-5.5769396
-90;6;1.8070701;-5.540343;2.2517047;-5.5403514
-90;7;2.9774327;-5.480391;3.2259197;-5.47434
-90;8;3.8350315;-5.4482455;4.161223;-5.531682
-90;9;5.01284;-5.349627;5.1978674;-5.5257545
-90;10;5.648509;-5.516772;5.8345647;-5.541615
-90;11;6.9383435;-5.472269;7.0476594;-5.504561
