i_deg;j_deg;theta_y;theta_z;mean_theta_y;mean_theta_z
-90;-40;44.34666450373378;-3.5784458083819435;44.41930655245634;-3.287403725564166
-90;-39;43.76569686298097;-3.1534040672936374;43.53553379830906;-3.2693056440440635
-90;-38;42.231228098543774;-3.114741224156765;42.5119127015843;-3.154245750139201
-90;-37;41.67657764700805;-3.1675226817669575;41.47349512118552;-3.150227391712773
-90;-36;40.573704753120964;-3.093492060047283;40.67372967451584;-3.059388041414924
-90;-35;39.484634438011284;-3.1204448903449964;39.491567946639364;-3.0656030898568534
-90;-34;38.503014972576516;-3.248430411687321;37.09493242789031;-2.5991565955260727
-90;-33;37.34736264655853;-2.93757210920766;37.36087558737599;-3.0744301673564927
-90;-32;36.216217375273786;-2.8602413069654515;36.40608291773248;-3.042968224704387
-90;-31;35.37812072837081;-2.946476817138742;35.3043312069851;-2.8679070902261548
-90;-30;34.339479200930164;-2.987518272201822;34.16721915375691;-2.9609259004406043
-90;-29;33.33582560745401;-2.8746975098382537;33.303924186785316;-2.8089601159081337
-90;-28;32.471642013516515;-2.7206046474009895;32.28690046382931;-2.768213848169987
-90;-27;31.066979264583125;-2.828313202028017;31.101605594001388;-2.783427338874362
-90;-26;30.38694662717393;-2.640282351363417;30.267552573435715;-2.73003031009684
-90;-25;29.061840880057837;-2.666706938652764;29.129106668855698;-2.7405941553405535
-90;-24;28.049917617537602;-2.7594413717698054;28.064387024356357;-2.7388406988270533
-90;-23;27.18873381763275;-2.6481355061619545;27.218691256607105;-2.6019255443992297
-90;-22;26.43658270502323;-2.7022763397040013;26.22147806307808;-2.6027719274902066
-90;-21;25.1933640371817;-2.7605785818176902;25.103972745201983;-2.5962329097982977
-90;-20;24.200543356724303;-2.53347384295193;24.06455947180967;-2.5755008053022066
-90;-19;22.61900536789103;-2.4353767420240273;22.89994956012106;-2.473277153183153
-90;-18;22.28857499999616;-2.5477248511119304;22.07237255876231;-2.4891781603376897
-90;-17;20.86644259577674;-2.440301198368728;20.95042246663981;-2.4564508895882677
-90;-16;19.84243421252479;-2.3413514914203453;19.9463977955131;-2.4054009998837715
-90;-15;19.097014063965304;-2.397729415336523;19.089741990026578;-2.3695062293503466
-90;-14;17.662615719484208;-2.3542786049849322;17.715015649456976;-2.2985788931199305
-90;-13;16.83470377107489;-2.4836104703159423;16.8059382172559;-2.2870775345084278
-90;-12;15.581585663840713;-2.1790266763885464;15.663799668787544;-2.239801541434856
-90;-11;14.802426190983978;-2.3145726767992936;14.814470992799958;-2.2315900019593555
-90;-10;13.66769711960716;-2.15343160556432;13.698703665936504;-2.154205194909253
-90;-9;12.418873112563956;-2.140890512160028;12.275532361653672;-2.149760064646277
-90;-8;11.436025978381506;-2.1159026660807743;11.400396394913813;-2.0794169441685697
-90;-7;10.92496960555723;-1.985274438176258;10.814401458225813;-2.0678697201296634
-90;-6;9.26038891157905;-2.044671168104143;9.280328287957131;-2.059485975942502
-90;-5;8.702767168915171;-1.958544045780912;8.429588518985762;-1.9741733809827673
-90;-4;7.0913236658490755;-1.987067925289191;7.197879665096619;-1.959728233169314
-90;-3;6.000068649982833;-1.8722324057423492;6.094423068568701;-1.8871212504272101
-90;-2;5.331793208260795;-1.8368636286314577;5.059228693342669;-1.8537875644917734
-90;-1;4.263802571724211;-1.8221880340677148;4.408351634957388;-1.7961125583050035
-90;0;3.2217819286173186;-1.8169820591936467;3.04045388214158;-1.792724172462281
-90;1;2.32843080514453;-1.691338545577471;2.2772637773628084;-1.6928743035218115
-90;2;1.6713866811224674;-1.7530104323137707;1.683174176331152;-1.7185453086608768
-90;3;1.2775901017247886;-1.6668923310484416;1.0737465658311336;-1.650592355857215
-90;4;0.41008581708267633;-1.584370680568985;0.1446222076096864;-1.5643117246722062
-90;5;-0.5587698966050852;-1.52916168751504;-0.5439192743887298;-1.5379399935712612
-90;6;-1.0427641270088301;-1.4552049084681133;-1.042583719661794;-1.4625308266058874
-90;7;-1.4868722024821568;-1.4447695890202414;-1.5891469440644321;-1.4521765965387097
-90;8;-2.3055561021789104;-1.4160757944120117;-2.4754033064095307;-1.4016314334867386
-90;9;-2.881996948247483;-1.3741309308546468;-2.9516519798074317;-1.336263858777168
-90;10;-3.747858389785086;-1.2815880677841012;-3.6300288958604017;-1.2818492386522753
-90;11;-4.0380994687097616;-1.261374987447096;-4.115497501724323;-1.240733973784135
-90;12;-5.725709687586335;-1.1961724057826901;-5.909022107494211;-1.2096434556294735
-90;13;-7.01862594472792;-1.1129953819644178;-6.788565536821807;-1.1644899583065838
-90;14;-7.829736871285156;-1.1358022221161925;-7.96479576854235;-1.1399013184268234
-90;15;-8.674289590074725;-1.0644036737726001;-8.845290532435662;-1.0846383489454334
-90;16;-9.99420837920061;-1.0866321141320636;-10.232696175749744;-1.0292077565638014
-90;17;-11.233289328425041;-1.0151763824722442;-11.257423329260277;-1.0171395140850124
-90;18;-11.994775840007435;-0.9393363632983642;-12.165769240841794;-0.9880090720587034
-90;19;-13.463682053962934;-0.92015561242367;-13.35823347506722;-0.9358057478455176
-90;20;-14.680307287274616;-0.9221484834561903;-14.457119445330422;-0.9065256591758132
-90;21;-15.54161727521141;-0.7684654357336388;-15.55410218388725;-0.8888004752232955
-90;22;-16.346965725603834;-0.8419734637275377;-16.279428253036812;-0.9085450718765673
-90;23;-17.445148542615577;-0.8251795076721155;-17.36946571054796;-0.7725051959324326
-90;24;-18.631421988539085;-0.7077126673798224;-18.57959151564461;-0.7275834300291025
-90;25;-19.306879344728173;-0.7289042191395269;-19.508264260321983;-0.7043667934267557
-90;26;-20.912989844521036;-0.7738227609629471;-20.837037800457885;-0.638598981888067
-90;27;-21.819211718999913;-0.7159796986609949;-21.66259307127567;-0.6448606229825402
-90;28;-22.72899596331656;-0.5169536674927497;-22.657149849974235;-0.6183492972990597
-90;29;-23.696019135348244;-0.5912901341595773;-23.685636274867697;-0.5150884514162799
-90;30;-24.63351248688384;-0.481163509869123;-24.84464137555805;-0.4632068212568929
-90;31;-25.813392943200107;-0.4708396624386083;-25.897416920980184;-0.41149205814374884
-90;32;-26.814724922624354;-0.40431244189427795;-26.893538645990738;-0.43311489300760236
-90;33;-27.798055280826233;-0.5036494166259929;-27.973269596366023;-0.44691905169814994
-90;34;-28.889174614891594;-0.4474321671229824;-28.93009423076539;-0.3719387479174425
-90;35;-29.958084490274313;-0.13250334483588982;-29.87322357475792;-0.31409910004073116
-90;36;-31.049655511253537;-0.20303951235198725;-30.88502706901477;-0.30056781025245805
-90;37;-31.55687285287166;-0.3485139129585907;-31.888698835202824;-0.24520288639903257
-90;38;-32.86228878410659;-0.283538017768983;-33.01223044403651;-0.13493985416153728
-90;39;-33.828392114769706;-0.13711010196592444;-33.79496086033769;-0.21898101868781766
-80;-40;44.551187622618926;-13.083380834144185;44.16421444494093;-13.281663687598671
-80;-39;43.255402156688874;-13.130138073297024;43.17517971927441;-13.265103223675553
-80;-38;42.26456303813361;-13.128819485814835;42.28499269426336;-13.212908376571468
-80;-37;41.323204762431885;-13.118081396699326;41.2084790050674;-13.202485680675528
-80;-36;40.25918953656415;-13.326893348430662;40.29336784977731;-13.19753228958309
-80;-35;39.29039286875144;-13.06666100722848;39.307521358923914;-12.983546782089437
-80;-34;38.063903335159864;-13.189125416266485;38.27888211372429;-13.127711451381689
-80;-33;37.21210168881027;-13.165875938298223;37.30113726217596;-13.123065426483764
-80;-32;36.25062649403959;-13.130114078444654;36.31111086648908;-13.143862081464787
-80;-31;35.195579585946945;-12.961199815949378;35.232964511599214;-12.830940849186138
-80;-30;34.19492846933871;-13.021605721558808;34.199032305612285;-12.89416778709013
-80;-29;33.2807760315214;-12.624065601414669;33.275497174646866;-12.792099429127916
-80;-28;32.33123925521863;-12.805794669531018;32.118681376594786;-12.832540517880153
-80;-27;31.239197756097585;-12.765639442042087;31.07716582165858;-12.752064788919848
-80;-26;30.40753024600381;-12.672919944889479;30.300484453469114;-12.781449656792477
-80;-25;29.249261946424372;-12.739915644514943;29.264839924507832;-12.644632399853586
-80;-24;28.264075679675052;-12.715548843196402;28.262698873325892;-12.696476309728714
-80;-23;27.217419229049643;-12.61520014558601;27.13365286512219;-12.624280907281099
